Batch,Gene,sgRNA,AEI,A2CEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
ALPHA,SETX,SETX_2,0.932987610782,0.0576351650738,0.0940065960477,0.0793318093453,0.0590190701254,0.255630477277
ALPHA,SALL3,SALL3_2,0.905636517219,0.0630695767842,0.0980880301299,0.0853468321124,0.0595929749731,0.252963018169
ALPHA,SCRT2,SCRT2_1,0.912044197903,0.0639034503906,0.0956480359488,0.0805066656913,0.0584247670657,0.258259530172
ALPHA,SCX,SCX_3,0.90512921577,0.0627494475312,0.0993482656295,0.0820253279663,0.0550843752111,0.24953250743
ALPHA,SALL1,SALL1_2,0.915591245555,0.0608093557595,0.0940644771088,0.0813863634252,0.0584200201752,0.253675328911
ALPHA,SET,SET_2,0.89749555927,0.0601158461645,0.0962802373281,0.0795660589554,0.0560711762567,0.249279812382
ALPHA,SETSIP,SETSIP_2,0.920630996292,0.0624131445609,0.0977696338711,0.083674506171,0.0572434848178,0.24871510465
ALPHA,SETDB1,SETDB1_3,0.935318539046,0.0651554228315,0.103859076087,0.0844783895675,0.062161679942,0.249163323615
ALPHA,SCRT2,SCRT2_2,0.962850938611,0.0621421587432,0.0931388460652,0.0852943502378,0.0541001622136,0.248662814091
ALPHA,SCAI,SCAI_2,0.932179050313,0.0598694318127,0.0983484901729,0.0824238479667,0.0589817934466,0.24808590296
ALPHA,SARNP,SARNP_2,0.951615418426,0.0659860329564,0.0971933610272,0.084251156842,0.0604276336889,0.263489323034
ALPHA,SCAPER,SCAPER_1,0.910973852163,0.0623432316618,0.101442573385,0.0809222668381,0.0569224306486,0.251985733445
ALPHA,SETD6,SETD6_3,0.89977675618,0.06105197387,0.0942540157085,0.0800022959239,0.0569122669599,0.254643621393
ALPHA,SCYL1,SCYL1_1,0.911100908918,0.0629624164589,0.098222922253,0.0808924366922,0.0576409204639,0.256486937217
ALPHA,SFMBT2,SFMBT2_1,0.91292296261,0.0626299870933,0.0950476849874,0.080485625877,0.0614566394144,0.247866318567
ALPHA,SETDB2,SETDB2_3,0.906195646777,0.0621802583512,0.0995821984496,0.0830643187535,0.0606688932017,0.253984450861
ALPHA,RYBP,RYBP_3,0.904831253672,0.0631137216381,0.0954880397722,0.08141498129,0.059874907389,0.24953100136
ALPHA,SETSIP,SETSIP_3,0.91994432707,0.0612104213891,0.0914434086688,0.0787431108941,0.0573600600582,0.250279602005
ALPHA,PRMT7,PRMT7_1,0.90603607773,0.0607009529944,0.101955749616,0.0778267652225,0.0572930959038,0.249666356221
ALPHA,PRORP,PRORP_2,1.00029547983,0.061406144051,0.103331233611,0.0813756396021,0.0624555990085,0.252634196828
ALPHA,PRMT3,PRMT3_1,0.933278092345,0.0629862471351,0.0975443770204,0.0801995471275,0.0609947899472,0.256203163112
ALPHA,PRDM6,PRDM6_3,0.910650342498,0.0596310515035,0.0901058860637,0.0802924072005,0.054599855167,0.247334371364
ALPHA,PRKCB,PRKCB_2,0.916847584676,0.0619539272982,0.098187074351,0.0807154035757,0.0572271197273,0.251988210091
ALPHA,PRMT3,PRMT3_2,0.917882328097,0.0641634406304,0.0970263187059,0.0839455395733,0.0584141495235,0.256307224116
ALPHA,PRKAA2,PRKAA2_3,0.894973942533,0.0657491278344,0.0916796419879,0.0853831474825,0.059522422743,0.25215560352
ALPHA,PSPC1,PSPC1_3,0.931657291589,0.0633499734087,0.0972323963774,0.0799333179107,0.0580502350439,0.254472595165
ALPHA,PSPC1,PSPC1_2,0.929960710241,0.0590471744143,0.0960078348889,0.0809359454539,0.0575212623501,0.2493183757
ALPHA,PRKAG1,PRKAG1_1,0.896032414661,0.0623906172141,0.0984211574614,0.0822560686078,0.0583072650172,0.249587726734
ALPHA,PRKCA,PRKCA_1,0.910753115987,0.0627194206683,0.100490620208,0.0827602260787,0.0583943825228,0.253987499724
