Batch,Gene,Gene Average AEI,Gene Average Z-Score,Gene Number of sgRNAs,observed_stat,p_value,num_permutations,p_value_corrected
ALPHA,WWC1,0.916111305503,-0.26539248850150027,3,-0.0030336066288306762,0.6602933970660293,100000.0,0.8496286671677935
ALPHA,YY2,0.9106787157480001,-0.7406579696568286,2,-0.008466196383830615,0.3144126984126984,100000.0,0.5975344329242634
ALPHA,YWHAE,0.9025072399603333,-1.4555325593311468,3,-0.016637672171497364,0.006899931000689993,100000.0,0.061641263056215194
ALPHA,ZBTB10,0.9083025151383334,-0.9485378532860723,3,-0.010842396993497316,0.11319886801131988,100000.0,0.339615369127882
ALPHA,YWHAZ,0.9114185764306667,-0.6759318888752192,3,-0.007726335701163989,0.26291737082629174,100000.0,0.5450285198499046
ALPHA,YWHAB,0.9055079318739999,-1.1930195866121733,3,-0.013636980257830777,0.03437965620343796,100000.0,0.16105220843881543
ALPHA,ZBED4,0.9109357557083334,-0.7181710479614214,3,-0.008209156423497288,0.22281777182228177,100000.0,0.4995998848009469
ALPHA,YTHDF2,0.9319988453515,1.1245153843545848,2,0.012853933219669322,0.12698412698412698,100000.0,0.3621138489087625
ALPHA,ZBTB12,0.9048090095675,-1.2541642084719764,2,-0.014335902564330705,0.06958730158730159,100000.0,0.24922626522626523
ALPHA,WTAP,0.9250305494285,0.514899958925259,2,0.005885637296669355,0.48558730158730157,100000.0,0.7397572791643511
ALPHA,ZBED3,0.9126966917895,-0.564117056836991,2,-0.006448220342330724,0.4530793650793651,100000.0,0.71838871047573
ALPHA,XPC,0.9218466574595,0.2363598856203193,2,0.0027017453276693137,0.7553015873015873,100000.0,0.9010868479797685
ALPHA,YBX2,0.8895176963796666,-2.5919117004528873,3,-0.029627215752164093,0.0010999890001099988,100000.0,0.01811770959503211
ALPHA,YBX1,0.9490947627706667,2.6201371383318492,3,0.02994985063883604,0.00047999520004799953,100000.0,0.010365525974369886
ALPHA,ZBTB14,0.920664366483,0.1329281679400494,2,0.0015194543511692915,0.8619682539682539,100000.0,0.9536716444283807
ALPHA,YARS1,0.902963541587,-1.4156134007106949,2,-0.01618137054483071,0.05180952380952381,100000.0,0.20948964181141713
ALPHA,CCNF,0.8983068195405,-1.8230027571404692,2,-0.020838092591330737,0.005333333333333333,100000.0,0.051314998166483314
ALPHA,CEBPE,0.9155374163313333,-0.3155986932035882,3,-0.00360749580049724,0.6002539974600254,100000.0,0.8132235592142221
ALPHA,CCND3,0.9268272298396667,0.672081012272712,3,0.007682317707836006,0.2614373856261437,100000.0,0.543430531991102
ALPHA,CEBPB,0.9164552275494999,-0.23530476160121425,2,-0.0026896845823307647,0.7611428571428571,100000.0,0.9040926755316913
ALPHA,CCNL1,0.9377734019696667,1.6296975448638982,3,0.01862848983783605,0.008659913400865991,100000.0,0.0705210452550968
ALPHA,CDKN2A,0.9269725451713334,0.6847938001213131,3,0.007827633039502513,0.2567774322256777,100000.0,0.5384680749212647
ALPHA,CCNB3,0.9094451462666666,-0.8485757435960157,3,-0.009699765865164078,0.14611853881461184,100000.0,0.3914505496708658
ALPHA,CDK5,0.937217282461,1.5810459039732767,2,0.018072370329169307,0.040634920634920635,100000.0,0.17841014853063047
ALPHA,CCNT1,0.9182931542183334,-0.07451531458152423,3,-0.0008517579134973419,0.9045709542904571,100000.0,0.969753810975917
ALPHA,CDK17,0.897751395772,-1.8715935317960188,3,-0.021393516359830667,0.0014599854001459986,100000.0,0.021939918057864098
ALPHA,CCND2,0.9163734287119999,-0.24246086313208978,3,-0.0027714834198305782,0.6944530554694454,100000.0,0.869408305630657
ALPHA,CCNC,0.9388573030753333,1.7245217086129376,3,0.019712390943502633,0.007459925400745993,100000.0,0.06466254465304704
ALPHA,CCNQ,0.8954980697785,-2.068723834432054,2,-0.0236468423533307,0.02107936507936508,100000.0,0.11994803317119518
ALPHA,CDK2,0.909712865853,-0.8251545239288509,2,-0.009432046278830652,0.2582857142857143,100000.0,0.5399060366020213
